"In the context of computing paradigms, what type of architecture is best categorized by a central computer making all decisions for a business transaction end-to-end, like a mainframe?",Centralized computing.
"Which computing paradigm involves different components of a system being located on different networked computers, such as client-server or n-tier architectures?",Distributed computing.
"What computing paradigm involves application services being carried out by individual nodes on a distributed network with no central location, as seen in protocols like Bitcoin?",Decentralized computing.
"What is the term for a software system's property where, if no new updates are made to a given data item, all accesses to that item will eventually return the last updated value?",Eventual consistency.
What type of service granularity describes an architecture where functional modules are only logically separated but are physically packaged into a single .ear archive?,Monolith.
"The _____ architecture, also known as the ports and adapter architecture, allows an application to be developed in isolation from its runtime devices and databases.",Hexagonal
"In the Hexagonal Architecture, what is the term for a consumer-agnostic entry and exit point to/from the application, often implemented as a Java interface?",A port.
"In the Hexagonal Architecture, what component provides the functionality promised by an interface (a port) without having to know the specific class used to implement that interface?",An adapter.
"In a ports and adapters architecture, adapters on the UI side that initiate an action on the application are called _____ or driving adapters.",primary
"In a ports and adapters architecture, adapters representing connections to backend resources like databases are called _____ or driven adapters because they react to an action.",secondary
"What does HATEOAS, a constraint of the REST application architecture, stand for?",Hypermedia as the Engine of Application State.
What convention for defining hypermedia within JSON or XML data is structured around the concepts of Resources and Links?,Hypertext Application Language (HAL).
"In which software architecture pattern do outer layers depend on inner layers, with the direction of coupling always toward the center?",The Onion Architecture.
"What query language for APIs enables clients to ask for exactly the data they need and nothing more, making it easier to evolve APIs over time?",GraphQL.
"What is the term for the design principle where a microservice owns and encapsulates its own data, and is available even when other services in the application flow are down?",Autonomy.
"What type of messaging channel ensures that only one receiver will receive a particular message, as seen with typical synchronous HTTP transport?",A point-to-point channel.
"What messaging pattern delivers a copy of a particular event to each subscribed receiver, providing one-to-many communication?",The Publish-Subscribe pattern.
"In a request-reply pattern over an asynchronous channel, what pattern is used where the request message includes the channel address for the reply, allowing the server to respond without knowing the client's address beforehand?",The return address pattern.
"What does SEDA, an architecture for well-conditioned, highly concurrent server applications, stand for?",Staged Event-Driven Architecture.
