"In Java, what is the key difference between the `javac` and `java` commands?","The `javac` command compiles Java source code (.java) into bytecode (.class), while the `java` command runs the compiled bytecode."
What is the purpose of the `static` keyword in the `public static void main(String[] args)` method signature?,It allows the method to be run by the JVM without creating an instance of the class.
"The `void` keyword in a Java method signature, such as `public static void main(...)`, indicates what?",The method does not return any value.
"In Java, command-line arguments are passed to the `main` method as an array of what type?",An array of Strings (`String[]`).
"How can you implement a constraint on a private class variable, such as ensuring a name is not null and has a minimum length?",By using a public setter method that contains the validation logic before assigning the value.
A special form of multi-line comment that starts with `/**` and is used to generate API documentation is called a _____.,Javadoc comment.
What command-line tool is used to generate HTML documentation from Javadoc comments in Java source code?,The `javadoc` tool.
"In a Javadoc comment, what is the purpose of the `@param` tag?",It is used to describe a method's parameter.
What Javadoc tag is used to describe the return value of a method?,The `@return` tag.
How does the Java command `java` handle arguments that appear after the class name or `-jar` option?,It treats them as command-line arguments to be passed to the Java application's `main` method.
How should you pass a file path containing spaces as a single command-line argument in a UNIX-like shell?,By enclosing the path in quotes or by escaping each space with a backslash (\).
"Since Java 7, what character can be used to improve the readability of numeric literals by separating groups of digits?",The underscore character (`_`).
What suffix must be appended to an integer literal to explicitly define it as a `long` type in Java?,"An `L` or `l` suffix (e.g., `2147483648L`)."
Why is it generally recommended to use the `BigDecimal` class instead of `float` or `double` for precise values like currency?,Because `float` and `double` can introduce small rounding errors due to their binary floating-point representation.
What is the result of comparing two String objects using the `==` operator in Java?,"It tests for reference equality, meaning it checks if both variables point to the same object in memory."
"To compare the actual character content of two String objects for equality in Java, which method should be used?",The `.equals()` method.
What is the key characteristic of `String` objects in Java regarding their state after creation?,"They are immutable, meaning they cannot be changed once created."
"When a String literal is created, the JVM stores a reference to it in a special memory area called the _____.",String pool (or string intern pool).
"What is the difference in behavior between `String a = ""alpha"";` and `String c = new String(""alpha"");`?","`a` will use the String pool, while `c` forces the creation of a new object on the heap, so `a == c` would be false."
"For concatenating a large number of strings within a loop, which class is more efficient than using the `+` operator, and why?",`StringBuilder` is more efficient because it is mutable and avoids creating a new intermediate String object for each concatenation.
What is the purpose of the `SimpleDateFormat` class in Java?,"It is used for formatting and parsing dates in a customizable way (e.g., `yyyy/MM/dd`)."
"In a `SimpleDateFormat` pattern string, what is the difference between `mm` and `MM`?","`mm` (lowercase) represents minutes, while `MM` (uppercase) represents the month."
Why is `BigDecimal` considered immutable?,Because methods like `add()` do not change the object itself but instead return a new `BigDecimal` object with the result.
"For mathematical operations on integers that are too large to be represented by the `long` primitive type, which Java class should be used?",The `java.math.BigInteger` class.
